exit out, exit in, input out, input in
33.437500, 31.312500, 24.812500, 24.0
33.312500, 31.125000, 24.812500, 24.0
33.187500, 30.937500, 24.875000, 24.0
32.687500, 31.125000, 24.875000, 24.0
31.937500, 31.937500, 24.875000, 24.0
31.250000, 33.187500, 24.937500, 24.0
30.750000, 34.812500, 25.000000, 24.0
30.437500, 36.750000, 25.125000, 24.0
30.437500, 39.000000, 25.250000, 24.0
30.562500, 41.562500, 25.500000, 24.0
31.000000, 44.312500, 25.812500, 24.0
31.562500, 47.125000, 26.125000, 24.0
32.375000, 49.875000, 26.562500, 24.0
33.312500, 52.500000, 27.000000, 24.0
34.500000, 54.937500, 27.500000, 24.0
35.875000, 57.250000, 28.000000, 24.0
37.375000, 59.312500, 28.500000, 24.0
38.875000, 61.250000, 29.000000, 24.0
40.375000, 62.937500, 29.437500, 24.0
42.000000, 64.500000, 29.875000, 24.0
43.500000, 65.937500, 30.250000, 24.0
44.937500, 67.125000, 30.625000, 24.0
46.375000, 68.312500, 31.062500, 24.0
47.812500, 69.312500, 31.500000, 24.0
49.250000, 70.250000, 31.875000, 24.0
50.562500, 71.062500, 32.312500, 24.0
51.687500, 71.875000, 32.687500, 24.0
52.687500, 72.562500, 33.000000, 24.0
53.500000, 73.125000, 33.250000, 24.0
54.312500, 73.750000, 33.500000, 24.0
55.000000, 74.250000, 33.750000, 24.0
55.625000, 74.687500, 34.000000, 24.0
56.250000, 75.125000, 34.312500, 24.0
56.875000, 75.500000, 34.562500, 24.0
57.562500, 75.875000, 34.750000, 24.0
58.187500, 76.187500, 35.000000, 24.0
58.750000, 76.437500, 35.250000, 24.0
59.312500, 76.750000, 35.437500, 24.0
59.750000, 77.000000, 35.625000, 24.0
60.125000, 77.187500, 35.812500, 24.0
60.437500, 77.375000, 36.000000, 24.0
60.687500, 77.562500, 36.250000, 24.0
60.937500, 77.687500, 36.437500, 24.0
60.937500, 77.875000, 36.562500, 24.0
59.937500, 78.000000, 36.750000, 24.0
58.312500, 78.187500, 37.187500, 24.0
56.750000, 78.312500, 37.875000, 24.0
55.437500, 78.437500, 38.812500, 24.0
54.437500, 78.687500, 39.937500, 24.0
53.812500, 78.812500, 41.125000, 24.0
53.687500, 78.937500, 42.437500, 24.0
53.812500, 79.062500, 43.687500, 24.0
54.125000, 79.187500, 45.000000, 24.0
54.625000, 79.312500, 46.250000, 24.0
55.062500, 79.375000, 47.437500, 24.0
55.437500, 79.500000, 48.562500, 24.0
55.875000, 79.562500, 49.625000, 24.0
56.250000, 79.687500, 50.625000, 24.0
56.625000, 79.687500, 51.562500, 24.0
56.937500, 79.812500, 52.375000, 24.0
57.187500, 79.875000, 53.125000, 24.0
57.375000, 79.937500, 53.812500, 24.0
57.562500, 80.000000, 54.375000, 24.0
57.687500, 80.062500, 54.937500, 24.0
57.875000, 80.062500, 55.375000, 24.0
58.062500, 80.187500, 55.875000, 24.0
58.437500, 80.250000, 56.375000, 24.0
59.125000, 80.312500, 56.937500, 24.0
59.937500, 80.375000, 57.625000, 24.0
60.750000, 80.500000, 58.375000, 24.0
61.500000, 80.562500, 59.125000, 24.0
62.250000, 80.562500, 59.875000, 24.0
62.937500, 80.625000, 60.625000, 24.0
63.562500, 80.687500, 61.312500, 24.0
64.062500, 80.687500, 62.000000, 24.0
64.562500, 80.750000, 62.562500, 24.0
65.000000, 80.750000, 63.062500, 24.0
65.312500, 80.812500, 63.562500, 24.0
65.562500, 80.812500, 63.937500, 24.0
65.812500, 80.875000, 64.312500, 24.0
65.937500, 80.875000, 64.562500, 24.0
66.062500, 80.875000, 64.812500, 24.0
66.187500, 80.937500, 65.000000, 24.0
66.250000, 80.937500, 65.187500, 24.0
66.250000, 80.875000, 65.312500, 24.0
66.187500, 80.937500, 65.375000, 24.0
66.187500, 80.875000, 65.375000, 24.0
66.125000, 80.937500, 65.375000, 24.0
66.062500, 80.875000, 65.375000, 24.0
66.000000, 80.937500, 65.312500, 24.0
65.937500, 80.875000, 65.250000, 24.0
65.812500, 80.875000, 65.187500, 24.0
65.812500, 80.875000, 65.125000, 24.0
65.687500, 80.875000, 65.000000, 24.0
65.562500, 80.875000, 64.875000, 24.0
65.500000, 80.812500, 64.687500, 24.0
65.437500, 80.812500, 64.562500, 24.0
