timestamp,battery_mv,die_temp_c,tank_temp_start_c,tank_temp_end_c,loops
2026-02-21T00:04:21.498836,13054,23.284,80.937,72.312,72.312,0
2026-02-21T00:09:27.827693,13076,22.965,80.875,72.0,72.0,0
2026-02-21T00:14:34.158255,13037,22.645,80.75,71.875,71.875,0
2026-02-21T00:19:40.491279,13020,23.284,80.687,72.125,72.125,0
2026-02-21T00:24:46.816622,13065,22.325,80.625,72.0,72.0,0
2026-02-21T00:29:53.131259,13070,22.645,80.562,71.812,71.812,0
2026-02-21T00:34:59.467067,13054,23.284,80.5,71.875,71.875,0
2026-02-21T00:40:05.784749,13076,22.645,80.437,71.562,71.562,0
2026-02-21T00:45:12.121100,13042,22.645,80.375,71.562,71.562,0
2026-02-21T00:50:18.457948,13009,22.965,80.312,71.562,71.562,0
2026-02-21T00:55:24.793829,13070,23.284,80.25,71.687,71.687,0
2026-02-21T01:00:31.146988,13009,22.965,80.187,71.812,71.812,0
2026-02-21T01:05:37.510332,13009,22.965,80.062,71.75,71.75,0
2026-02-21T01:10:43.873888,13009,23.284,80.0,71.437,71.437,0
2026-02-21T01:15:50.225147,13054,22.965,79.937,71.25,71.25,0
2026-02-21T01:20:56.584861,13015,23.604,79.875,71.25,71.25,0
2026-02-21T01:26:02.940771,13009,22.965,79.812,71.312,71.312,0
2026-02-21T01:31:09.299064,13020,23.604,79.812,71.125,71.125,0
2026-02-21T01:36:15.665456,13009,23.604,79.75,70.875,70.875,0
2026-02-21T01:41:22.063848,13009,23.284,79.625,70.75,70.75,0
2026-02-21T01:46:28.465650,12998,23.284,79.562,71.187,71.187,0
2026-02-21T01:51:34.849008,13009,23.284,79.562,71.0,71.0,0
2026-02-21T01:56:41.231495,13026,23.924,79.5,71.125,71.125,0
2026-02-21T02:01:47.596259,12993,23.284,79.437,70.687,70.687,0
2026-02-21T02:06:53.970697,13015,22.645,79.312,70.687,70.687,0
2026-02-21T02:12:00.329572,13020,23.284,79.25,70.562,70.562,0
2026-02-21T02:17:06.688538,13042,22.965,79.187,70.625,70.625,0
2026-02-21T02:22:13.037287,13004,23.604,79.062,70.75,70.75,0
2026-02-21T02:27:19.395040,13026,23.604,79.062,70.687,70.687,0
2026-02-21T02:32:25.737040,13042,22.965,78.937,70.687,70.687,0
2026-02-21T02:37:32.074371,12987,22.645,78.937,70.562,70.562,0
2026-02-21T02:42:38.391137,12987,22.645,78.875,70.437,70.437,0
2026-02-21T02:47:44.689153,13031,22.645,78.75,70.25,70.25,0
2026-02-21T02:52:50.985439,13004,23.284,78.687,70.125,70.125,0
2026-02-21T02:57:57.269424,13037,22.325,78.687,70.125,70.125,0
2026-02-21T03:03:03.551018,13020,22.965,78.625,70.25,70.25,0
2026-02-21T03:08:09.844321,13009,22.645,78.562,70.312,70.312,0
2026-02-21T03:13:16.131843,12993,22.645,78.437,70.5,70.5,0
2026-02-21T03:18:22.423598,13020,23.284,78.437,70.312,70.312,0
2026-02-21T03:23:28.707155,12976,22.965,78.312,70.187,70.187,0
2026-02-21T03:28:34.982197,12970,23.284,78.312,70.062,70.062,0
2026-02-21T03:33:41.261035,13026,22.965,78.187,70.0,70.0,0
2026-02-21T03:38:47.532831,12959,22.325,78.125,69.937,69.937,0
2026-02-21T03:43:53.796457,12959,22.965,78.125,69.625,69.625,0
2026-02-21T03:49:00.053207,13020,22.005,78.062,69.5,69.5,0
2026-02-21T03:54:06.306548,13020,22.325,78.0,69.5,69.5,0
2026-02-21T03:59:12.545283,12959,22.645,77.875,69.375,69.375,0
2026-02-21T04:04:18.778436,12954,22.325,77.812,69.562,69.562,0
2026-02-21T04:09:25.015929,13004,22.325,77.75,69.75,69.75,0
2026-02-21T04:14:31.231913,13009,22.005,77.687,69.625,69.625,0
2026-02-21T04:19:37.436039,13009,22.325,77.625,69.375,69.375,0
