air_temp,dni,ghi,precipitation_rate,period_end,period
17,0,0,0.8,2024-12-01T01:00:00+00:00,PT60M
18,0,0,0.8,2024-12-01T02:00:00+00:00,PT60M
18,0,0,0.8,2024-12-01T03:00:00+00:00,PT60M
18,25,28,0.8,2024-12-01T04:00:00+00:00,PT60M
18,0,82,0.7,2024-12-01T05:00:00+00:00,PT60M
18,0,153,1.6,2024-12-01T06:00:00+00:00,PT60M
19,0,212,0.3,2024-12-01T07:00:00+00:00,PT60M
19,0,237,0.5,2024-12-01T08:00:00+00:00,PT60M
19,0,239,0.4,2024-12-01T09:00:00+00:00,PT60M
20,0,218,1.3,2024-12-01T10:00:00+00:00,PT60M
21,0,327,0.5,2024-12-01T11:00:00+00:00,PT60M
21,0,269,0.8,2024-12-01T12:00:00+00:00,PT60M
21,0,332,0.6,2024-12-01T13:00:00+00:00,PT60M
21,0,174,0.2,2024-12-01T14:00:00+00:00,PT60M
21,0,73,0,2024-12-01T15:00:00+00:00,PT60M
21,0,28,0,2024-12-01T16:00:00+00:00,PT60M
20,0,0,0.1,2024-12-01T17:00:00+00:00,PT60M
20,0,0,0.2,2024-12-01T18:00:00+00:00,PT60M
20,0,0,0.1,2024-12-01T19:00:00+00:00,PT60M
20,0,0,0,2024-12-01T20:00:00+00:00,PT60M
20,0,0,0,2024-12-01T21:00:00+00:00,PT60M
19,0,0,0,2024-12-01T22:00:00+00:00,PT60M
19,0,0,0,2024-12-01T23:00:00+00:00,PT60M
19,0,0,0,2024-12-02T00:00:00+00:00,PT60M
19,0,0,0,2024-12-02T01:00:00+00:00,PT60M
19,0,0,0,2024-12-02T02:00:00+00:00,PT60M
19,0,0,0,2024-12-02T03:00:00+00:00,PT60M
20,72,35,0,2024-12-02T04:00:00+00:00,PT60M
21,11,149,0,2024-12-02T05:00:00+00:00,PT60M
22,0,250,0,2024-12-02T06:00:00+00:00,PT60M
22,237,519,0,2024-12-02T07:00:00+00:00,PT60M
23,702,815,0.1,2024-12-02T08:00:00+00:00,PT60M
23,387,780,0.1,2024-12-02T09:00:00+00:00,PT60M
25,277,756,0.1,2024-12-02T10:00:00+00:00,PT60M
26,627,887,0.1,2024-12-02T11:00:00+00:00,PT60M
25,484,748,0.1,2024-12-02T12:00:00+00:00,PT60M
25,113,485,0.1,2024-12-02T13:00:00+00:00,PT60M
25,92,345,0.4,2024-12-02T14:00:00+00:00,PT60M
24,0,140,0.1,2024-12-02T15:00:00+00:00,PT60M
23,0,27,0.2,2024-12-02T16:00:00+00:00,PT60M
22,0,0,0.2,2024-12-02T17:00:00+00:00,PT60M
20,0,0,0.1,2024-12-02T18:00:00+00:00,PT60M
20,0,0,0,2024-12-02T19:00:00+00:00,PT60M
20,0,0,0,2024-12-02T20:00:00+00:00,PT60M
19,0,0,0,2024-12-02T21:00:00+00:00,PT60M
20,0,0,0,2024-12-02T22:00:00+00:00,PT60M
20,0,0,0,2024-12-02T23:00:00+00:00,PT60M
20,0,0,0,2024-12-03T00:00:00+00:00,PT60M
19,0,0,0,2024-12-03T01:00:00+00:00,PT60M
20,0,0,0,2024-12-03T02:00:00+00:00,PT60M
21,0,0,0,2024-12-03T03:00:00+00:00,PT60M
22,47,32,0,2024-12-03T04:00:00+00:00,PT60M
23,37,163,0,2024-12-03T05:00:00+00:00,PT60M
22,335,393,0,2024-12-03T06:00:00+00:00,PT60M
23,349,550,0,2024-12-03T07:00:00+00:00,PT60M
23,279,652,0.1,2024-12-03T08:00:00+00:00,PT60M
24,607,872,0.1,2024-12-03T09:00:00+00:00,PT60M
24,199,603,0.1,2024-12-03T10:00:00+00:00,PT60M
24,0,237,0,2024-12-03T11:00:00+00:00,PT60M
25,477,726,0,2024-12-03T12:00:00+00:00,PT60M
25,294,458,0,2024-12-03T13:00:00+00:00,PT60M
26,0,142,0,2024-12-03T14:00:00+00:00,PT60M
