air_temp,dni,ghi,period_end,period
18,0,0,2026-02-01T00:05:00+00:00,PT5M
18,0,0,2026-02-01T00:10:00+00:00,PT5M
18,0,0,2026-02-01T00:15:00+00:00,PT5M
18,0,0,2026-02-01T00:20:00+00:00,PT5M
18,0,0,2026-02-01T00:25:00+00:00,PT5M
18,0,0,2026-02-01T00:30:00+00:00,PT5M
18,0,0,2026-02-01T00:35:00+00:00,PT5M
18,0,0,2026-02-01T00:40:00+00:00,PT5M
18,0,0,2026-02-01T00:45:00+00:00,PT5M
18,0,0,2026-02-01T00:50:00+00:00,PT5M
18,0,0,2026-02-01T00:55:00+00:00,PT5M
18,0,0,2026-02-01T01:00:00+00:00,PT5M
18,0,0,2026-02-01T01:05:00+00:00,PT5M
18,0,0,2026-02-01T01:10:00+00:00,PT5M
18,0,0,2026-02-01T01:15:00+00:00,PT5M
18,0,0,2026-02-01T01:20:00+00:00,PT5M
18,0,0,2026-02-01T01:25:00+00:00,PT5M
18,0,0,2026-02-01T01:30:00+00:00,PT5M
18,0,0,2026-02-01T01:35:00+00:00,PT5M
18,0,0,2026-02-01T01:40:00+00:00,PT5M
18,0,0,2026-02-01T01:45:00+00:00,PT5M
18,0,0,2026-02-01T01:50:00+00:00,PT5M
18,0,0,2026-02-01T01:55:00+00:00,PT5M
18,0,0,2026-02-01T02:00:00+00:00,PT5M
18,0,0,2026-02-01T02:05:00+00:00,PT5M
18,0,0,2026-02-01T02:10:00+00:00,PT5M
18,0,0,2026-02-01T02:15:00+00:00,PT5M
18,0,0,2026-02-01T02:20:00+00:00,PT5M
18,0,0,2026-02-01T02:25:00+00:00,PT5M
18,0,0,2026-02-01T02:30:00+00:00,PT5M
18,0,0,2026-02-01T02:35:00+00:00,PT5M
18,0,0,2026-02-01T02:40:00+00:00,PT5M
18,0,0,2026-02-01T02:45:00+00:00,PT5M
18,0,0,2026-02-01T02:50:00+00:00,PT5M
18,0,0,2026-02-01T02:55:00+00:00,PT5M
18,0,0,2026-02-01T03:00:00+00:00,PT5M
18,0,0,2026-02-01T03:05:00+00:00,PT5M
18,0,0,2026-02-01T03:10:00+00:00,PT5M
18,0,0,2026-02-01T03:15:00+00:00,PT5M
18,0,0,2026-02-01T03:20:00+00:00,PT5M
18,0,0,2026-02-01T03:25:00+00:00,PT5M
18,0,0,2026-02-01T03:30:00+00:00,PT5M
18,0,0,2026-02-01T03:35:00+00:00,PT5M
18,0,0,2026-02-01T03:40:00+00:00,PT5M
18,0,0,2026-02-01T03:45:00+00:00,PT5M
18,0,2,2026-02-01T03:50:00+00:00,PT5M
18,0,4,2026-02-01T03:55:00+00:00,PT5M
18,0,13,2026-02-01T04:00:00+00:00,PT5M
18,0,28,2026-02-01T04:05:00+00:00,PT5M
18,0,40,2026-02-01T04:10:00+00:00,PT5M
18,0,47,2026-02-01T04:15:00+00:00,PT5M
18,0,59,2026-02-01T04:20:00+00:00,PT5M
18,0,73,2026-02-01T04:25:00+00:00,PT5M
18,0,84,2026-02-01T04:30:00+00:00,PT5M
18,0,81,2026-02-01T04:35:00+00:00,PT5M
19,0,94,2026-02-01T04:40:00+00:00,PT5M
19,0,77,2026-02-01T04:45:00+00:00,PT5M
19,0,90,2026-02-01T04:50:00+00:00,PT5M
19,0,107,2026-02-01T04:55:00+00:00,PT5M
19,0,125,2026-02-01T05:00:00+00:00,PT5M
19,0,125,2026-02-01T05:05:00+00:00,PT5M
19,0,132,2026-02-01T05:10:00+00:00,PT5M
19,0,146,2026-02-01T05:15:00+00:00,PT5M
19,0,160,2026-02-01T05:20:00+00:00,PT5M
19,0,182,2026-02-01T05:25:00+00:00,PT5M
19,0,178,2026-02-01T05:30:00+00:00,PT5M
19,0,184,2026-02-01T05:35:00+00:00,PT5M
19,0,195,2026-02-01T05:40:00+00:00,PT5M
19,0,197,2026-02-01T05:45:00+00:00,PT5M
20,0,198,2026-02-01T05:50:00+00:00,PT5M
20,0,207,2026-02-01T05:55:00+00:00,PT5M
20,0,238,2026-02-01T06:00:00+00:00,PT5M
20,0,249,2026-02-01T06:05:00+00:00,PT5M
20,0,282,2026-02-01T06:10:00+00:00,PT5M
20,0,289,2026-02-01T06:15:00+00:00,PT5M
20,0,285,2026-02-01T06:20:00+00:00,PT5M
20,0,304,2026-02-01T06:25:00+00:00,PT5M
20,0,287,2026-02-01T06:30:00+00:00,PT5M
21,0,300,2026-02-01T06:35:00+00:00,PT5M
21,0,294,2026-02-01T06:40:00+00:00,PT5M
21,0,341,2026-02-01T06:45:00+00:00,PT5M
21,0,334,2026-02-01T06:50:00+00:00,PT5M
21,0,354,2026-02-01T06:55:00+00:00,PT5M
21,0,352,2026-02-01T07:00:00+00:00,PT5M
21,0,379,2026-02-01T07:05:00+00:00,PT5M
21,0,361,2026-02-01T07:10:00+00:00,PT5M
22,0,366,2026-02-01T07:15:00+00:00,PT5M
22,0,338,2026-02-01T07:20:00+00:00,PT5M
22,0,316,2026-02-01T07:25:00+00:00,PT5M
22,0,326,2026-02-01T07:30:00+00:00,PT5M
22,0,328,2026-02-01T07:35:00+00:00,PT5M
22,0,362,2026-02-01T07:40:00+00:00,PT5M
22,0,396,2026-02-01T07:45:00+00:00,PT5M
22,0,448,2026-02-01T07:50:00+00:00,PT5M
23,0,510,2026-02-01T07:55:00+00:00,PT5M
23,46,563,2026-02-01T08:00:00+00:00,PT5M
23,67,582,2026-02-01T08:05:00+00:00,PT5M
23,71,591,2026-02-01T08:10:00+00:00,PT5M
23,29,573,2026-02-01T08:15:00+00:00,PT5M
23,80,609,2026-02-01T08:20:00+00:00,PT5M
