timestamp,battery_mv,die_temp_c,tank_temp_start_c,tank_temp_end_c,loops
2026-02-20T14:45:37.756722,13741,46.947,83.062,74.5,74.5,0
2026-02-20T14:51:02.320780,13786,46.308,83.625,75.25,75.25,0
2026-02-20T14:56:12.063299,13802,46.308,84.0,74.937,74.937,0
2026-02-20T15:01:21.788981,13791,45.348,84.312,75.625,75.625,0
2026-02-20T15:06:31.442373,13786,45.668,84.625,75.687,75.687,0
2026-02-20T15:11:41.051178,13752,45.348,84.875,76.062,76.062,0
2026-02-20T15:16:50.629747,13791,44.709,85.125,76.812,76.812,0
2026-02-20T15:22:00.207656,13769,45.988,85.375,77.062,77.062,0
2026-02-20T15:42:38.208822,13786,43.75,86.062,77.625,77.625,0
2026-02-20T15:47:47.464367,13786,42.47,86.125,77.687,77.687,0
2026-02-20T15:52:56.601152,13752,41.191,86.062,75.5,75.5,0
2026-02-20T15:58:05.578824,13747,40.232,86.062,75.375,75.375,0
2026-02-20T16:03:14.520399,13797,40.552,86.125,75.75,75.75,0
2026-02-20T16:08:23.460336,13797,40.232,86.125,75.75,75.75,0
2026-02-20T16:13:32.212774,13769,38.633,86.125,75.75,75.75,0
2026-02-20T16:18:40.816005,13780,37.354,86.0,74.875,74.875,0
2026-02-20T16:23:49.252535,13747,36.075,86.0,75.062,75.062,0
2026-02-20T16:28:57.585214,13791,35.755,85.937,76.062,76.062,0
2026-02-20T16:34:05.866689,13752,36.075,85.875,75.75,75.75,0
2026-02-20T16:39:14.300996,13758,37.674,85.812,74.937,74.937,0
2026-02-20T16:44:22.938360,13802,38.313,85.875,75.437,75.437,0
2026-02-20T16:49:31.609710,13747,38.313,85.875,75.25,75.25,0
2026-02-20T16:54:40.235673,13763,37.994,85.875,75.687,75.687,0
2026-02-20T16:59:48.913921,13797,37.994,85.875,75.937,75.937,0
2026-02-20T17:04:57.544756,13769,38.313,85.875,75.312,75.312,0
2026-02-20T17:10:06.107848,13791,37.994,85.875,75.062,75.062,0
2026-02-20T17:15:14.670229,13791,37.674,85.875,75.625,75.625,0
2026-02-20T17:20:23.182987,13808,36.715,85.812,75.812,75.812,0
2026-02-20T17:25:31.588408,13769,36.395,85.75,75.25,75.25,0
2026-02-20T17:30:39.882805,13774,35.755,85.687,75.875,75.875,0
2026-02-20T17:35:48.037890,13763,34.796,85.687,75.562,75.562,0
2026-02-20T17:40:56.066168,13797,33.197,85.625,75.687,75.687,0
2026-02-20T17:46:03.962074,13697,31.918,85.625,75.312,75.312,0
2026-02-20T17:51:11.711474,13525,32.238,85.562,75.437,75.437,0
2026-02-20T17:56:19.346829,13303,30.319,85.5,75.562,75.562,0
2026-02-20T18:01:26.864375,13264,29.68,85.437,75.687,75.687,0
2026-02-20T18:06:34.231526,13237,29.36,85.375,76.187,76.187,0
2026-02-20T18:11:41.507534,13237,29.04,85.312,75.937,75.937,0
2026-02-20T18:16:48.714539,13214,28.401,85.25,76.0,76.0,0
2026-02-20T18:27:02.943761,13148,28.401,85.187,76.0,76.0,0
2026-02-20T18:32:10.009675,13192,27.441,85.125,75.812,75.812,0
2026-02-20T18:37:17.049812,13176,27.122,85.062,76.0,76.0,0
2026-02-20T18:42:24.072124,13176,26.802,85.0,76.062,76.062,0
2026-02-20T18:47:31.056853,13126,26.802,84.937,75.937,75.937,0
2026-02-20T18:52:38.011963,13120,27.122,84.875,75.5,75.5,0
2026-02-20T18:57:44.938580,13120,26.162,84.812,75.125,75.125,0
2026-02-20T19:02:51.855780,13159,26.802,84.812,75.5,75.5,0
2026-02-20T19:07:58.761371,13148,26.802,84.75,74.812,74.812,0
2026-02-20T19:13:05.659701,13115,27.122,84.687,75.562,75.562,0
2026-02-20T19:18:12.532086,13148,25.843,84.625,75.812,75.812,0
2026-02-20T19:23:19.373988,13103,26.162,84.562,76.0,76.0,0
2026-02-20T19:28:26.200354,13092,25.523,84.5,75.562,75.562,0
2026-02-20T19:33:33.029054,13148,25.523,84.437,75.375,75.375,0
2026-02-20T19:38:39.854586,13137,25.843,84.375,75.062,75.062,0
2026-02-20T19:43:46.671448,13126,25.843,84.25,75.312,75.312,0
2026-02-20T19:48:53.484211,13092,25.843,84.25,75.562,75.562,0
2026-02-20T19:54:00.295914,13148,25.843,84.187,75.5,75.5,0
2026-02-20T19:59:07.071084,13115,25.843,84.062,75.625,75.625,0
2026-02-20T20:04:13.837411,13120,25.203,84.062,75.687,75.687,0
2026-02-20T20:14:27.332384,13120,24.883,83.937,75.187,75.187,0
2026-02-20T20:19:34.065410,13076,25.523,83.875,75.5,75.5,0
2026-02-20T20:24:40.764191,13115,24.563,83.812,75.125,75.125,0
2026-02-20T20:29:47.447160,13076,25.523,83.75,74.375,74.375,0
2026-02-20T20:34:54.109510,13081,24.563,83.625,74.375,74.375,0
2026-02-20T20:40:00.777055,13115,24.883,83.562,74.375,74.375,0
2026-02-20T20:45:07.445955,13126,23.924,83.5,74.187,74.187,0
2026-02-20T20:50:14.094319,13126,24.563,83.437,73.875,73.875,0
2026-02-20T20:55:20.751924,13098,24.563,83.375,74.125,74.125,0
2026-02-20T21:00:27.422514,13059,24.563,83.312,74.25,74.25,0
2026-02-20T21:05:34.061145,13092,24.563,83.25,74.062,74.062,0
2026-02-20T21:10:40.681867,13115,23.924,83.187,74.062,74.062,0
2026-02-20T21:15:47.304400,13059,24.563,83.125,74.312,74.312,0
2026-02-20T21:20:53.937494,13115,24.244,83.062,73.875,73.875,0
2026-02-20T21:26:00.562810,13098,24.244,83.0,73.937,73.937,0
2026-02-20T21:31:07.174222,13103,24.244,83.0,73.937,73.937,0
2026-02-20T21:36:13.747560,13103,23.924,82.875,73.75,73.75,0
2026-02-20T21:41:20.308823,13103,23.604,82.812,73.562,73.562,0
2026-02-20T21:46:26.855142,13076,24.563,82.687,73.75,73.75,0
2026-02-20T21:51:33.380293,13054,24.244,82.687,73.812,73.812,0
2026-02-20T21:56:39.915114,13076,24.244,82.625,73.75,73.75,0
2026-02-20T22:01:46.450093,13098,23.284,82.5,73.687,73.687,0
2026-02-20T22:06:52.977022,13098,23.924,82.5,73.812,73.812,0
2026-02-20T22:11:59.475335,13042,24.244,82.375,73.625,73.625,0
2026-02-20T22:17:05.962329,13098,23.924,82.312,73.5,73.5,0
2026-02-20T22:22:12.452473,13048,24.244,82.25,73.562,73.562,0
2026-02-20T22:27:18.935506,13103,24.244,82.187,73.5,73.5,0
2026-02-20T22:32:25.437567,13081,24.244,82.125,73.375,73.375,0
2026-02-20T22:37:31.975472,13098,23.924,82.0,73.312,73.312,0
2026-02-20T22:42:38.510521,13098,23.604,82.0,73.5,73.5,0
2026-02-20T22:47:45.033196,13087,23.604,81.937,73.625,73.625,0
2026-02-20T22:52:51.553805,13092,23.284,81.875,73.437,73.437,0
2026-02-20T22:57:58.039921,13054,24.563,81.812,73.437,73.437,0
2026-02-20T23:03:04.519886,13076,23.924,81.75,73.187,73.187,0
2026-02-20T23:08:10.972735,13031,23.924,81.687,72.687,72.687,0
2026-02-20T23:13:17.452047,13031,23.924,81.625,72.562,72.562,0
2026-02-20T23:18:23.922033,13076,23.284,81.5,72.562,72.562,0
2026-02-20T23:23:30.382083,13076,22.965,81.5,72.687,72.687,0
2026-02-20T23:28:36.823736,13031,24.244,81.437,72.875,72.875,0
2026-02-20T23:33:43.230657,13076,23.284,81.375,72.687,72.687,0
2026-02-20T23:38:49.651683,13076,22.965,81.25,72.562,72.562,0
2026-02-20T23:43:56.057303,13087,23.284,81.187,72.437,72.437,0
2026-02-20T23:49:02.450312,13076,23.284,81.125,72.562,72.562,0
2026-02-20T23:54:08.805759,13076,22.645,81.0,72.25,72.25,0
2026-02-20T23:59:15.151430,13076,22.965,81.0,72.562,72.562,0
