timestamp,battery_mv,die_temp_c,tank_top_c,tank_temp_start_c,tank_temp_end_c,loops
2026-02-22T09:02:03.374829,13797,31.598,71.375,64.312,64.312,0
2026-02-22T09:07:10.964608,13797,32.877,71.187,64.687,64.687,0
2026-02-22T09:12:18.748475,13791,32.877,71.25,64.375,64.375,0
2026-02-22T09:17:26.582614,13747,33.197,71.25,64.5,64.5,0
2026-02-22T09:22:34.455786,13758,33.197,71.187,64.0,64.0,0
2026-02-22T09:27:42.311767,13808,33.517,71.125,63.687,63.687,0
2026-02-22T09:32:50.155926,13747,32.877,71.062,63.5,63.5,0
2026-02-22T09:37:57.975534,13741,33.517,71.062,63.312,63.312,0
2026-02-22T09:43:05.799654,13780,33.197,70.937,63.437,63.437,0
2026-02-22T09:48:13.618918,13774,33.517,70.875,62.562,62.562,0
2026-02-22T09:53:21.555899,13763,34.476,70.812,63.562,63.562,0
2026-02-22T09:58:29.640323,13791,35.755,70.687,63.75,63.75,0
2026-02-22T10:03:37.904772,13774,36.715,70.625,64.0,64.0,0
2026-02-22T10:08:46.334378,13780,37.994,70.687,63.812,63.812,0
2026-02-22T10:13:54.873862,13791,37.994,70.687,63.562,63.562,0
2026-02-22T10:19:03.407540,13747,38.953,70.687,63.687,63.687,0
2026-02-22T10:24:12.059148,13758,39.273,70.625,62.937,62.937,0
2026-02-22T10:29:20.756192,13747,39.273,70.625,62.75,62.75,0
2026-02-22T10:34:29.497016,13791,40.232,70.625,63.187,63.187,0
2026-02-22T10:39:38.329185,13763,40.552,70.687,63.5,63.5,0
2026-02-22T10:44:47.197694,13791,41.511,70.75,63.5,63.5,0
2026-02-22T10:49:56.111399,13774,41.191,70.687,63.625,63.625,0
2026-02-22T10:55:05.123041,13741,42.47,70.562,63.937,63.937,0
2026-02-22T11:00:14.236001,13774,42.79,70.687,64.562,64.562,0
2026-02-22T11:05:23.290552,13763,41.511,70.875,64.75,64.75,0
2026-02-22T11:15:41.302411,13769,41.831,71.062,65.187,65.187,0
2026-02-22T11:20:50.296749,13797,41.191,71.187,65.0,65.0,0
2026-02-22T11:25:59.301017,13747,43.11,71.437,65.375,65.375,0
2026-02-22T11:31:08.671427,13774,45.348,72.0,66.0,66.0,0
2026-02-22T11:36:18.241812,13791,45.668,72.5,66.75,66.75,0
2026-02-22T11:41:27.817748,13791,45.668,72.812,66.687,66.687,0
2026-02-22T11:46:37.252325,13763,45.029,73.125,66.312,66.312,0
2026-02-22T11:51:46.566452,13797,43.75,73.312,66.0,66.0,0
2026-02-22T11:56:55.915016,13774,44.709,73.625,66.875,66.875,0
2026-02-22T12:02:05.327263,13774,45.029,74.062,67.75,67.75,0
2026-02-22T12:07:14.808547,13813,45.348,74.562,68.75,68.75,0
2026-02-22T12:12:24.356304,13791,45.988,75.125,69.187,69.187,0
2026-02-22T12:17:34.034040,13741,47.267,75.687,69.875,69.875,0
2026-02-22T12:23:38.701686,13375,47.587,76.187,70.312,72.25,5
2026-02-22T12:29:32.391870,13148,49.505,76.687,72.0,73.187,4
2026-02-22T12:35:15.040934,13142,48.226,77.062,71.812,73.062,3
2026-02-22T12:42:57.771486,13220,48.866,77.437,72.937,72.812,5
2026-02-22T12:49:02.671614,13264,50.465,78.0,72.0,75.937,5
2026-02-22T12:55:07.334665,13259,48.546,78.312,71.812,76.875,5
2026-02-22T13:01:11.981622,13286,49.186,78.75,73.25,77.125,5
2026-02-22T13:06:54.650223,13170,49.186,79.187,73.75,76.812,3
2026-02-22T13:12:59.244919,13148,48.226,79.625,73.75,78.187,5
2026-02-22T13:18:41.897167,13098,48.866,80.062,74.687,77.75,3
2026-02-22T13:24:35.529959,13126,47.906,80.437,75.0,78.687,4
2026-02-22T13:36:22.425529,13342,45.029,80.812,74.25,79.062,5
2026-02-22T13:42:26.744378,13431,45.988,81.0,74.562,79.125,5
2026-02-22T13:48:31.217640,13170,47.906,81.25,74.75,79.062,5
2026-02-22T13:54:35.847927,13209,48.226,81.687,76.0,79.437,5
2026-02-22T14:00:40.583458,13364,49.825,82.187,76.125,79.687,5
2026-02-22T14:06:45.304995,13431,48.866,82.625,76.437,79.875,5
2026-02-22T14:12:50.012740,13309,50.145,83.125,77.0,80.187,5
2026-02-22T14:18:54.791932,13558,50.145,83.625,77.625,80.0,5
2026-02-22T14:24:59.527537,13336,49.505,84.125,78.0,80.187,5
2026-02-22T14:31:04.234823,13725,49.186,84.625,78.562,80.687,5
2026-02-22T14:36:57.862986,13153,48.866,85.125,78.687,80.687,4
2026-02-22T14:43:22.979541,13148,49.186,85.687,81.25,81.125,1
2026-02-22T14:49:05.937421,13109,48.866,86.062,80.375,81.75,3
2026-02-22T14:54:37.651130,13076,48.226,86.562,80.75,81.937,2
2026-02-22T15:00:09.231314,13076,45.668,86.687,79.812,81.125,2
2026-02-22T15:05:40.483641,13126,44.709,86.75,79.375,81.062,2
2026-02-22T15:11:11.880336,13126,46.627,87.125,80.437,81.687,2
2026-02-22T15:16:32.352489,13192,45.988,87.5,79.937,80.625,1
2026-02-22T15:22:03.818291,13126,45.029,87.625,80.375,81.937,2
2026-02-22T15:30:09.649198,13181,48.546,88.125,82.0,82.0,1
2026-02-22T15:35:41.392609,13148,47.587,88.562,81.25,82.375,2
2026-02-22T15:41:45.995291,13203,47.587,88.937,81.937,84.0,5
2026-02-22T15:47:50.590374,13164,49.186,89.375,82.312,84.687,5
2026-02-22T15:53:55.373426,13359,50.145,89.687,82.812,85.812,5
2026-02-22T16:00:00.315721,13453,51.424,90.062,83.625,88.437,5
2026-02-22T16:06:05.262322,13192,50.145,90.375,83.437,88.687,5
2026-02-22T16:12:09.966672,13153,49.505,90.562,84.375,89.062,5
2026-02-22T16:17:41.475384,13120,46.308,90.5,83.875,86.875,2
2026-02-22T16:23:12.653867,13126,42.79,90.437,83.687,86.562,2
2026-02-22T16:34:17.545370,13198,40.232,90.375,89.125,89.062,1
2026-02-22T16:42:25.061354,13153,39.912,90.375,88.937,88.937,1
2026-02-22T16:49:27.728896,13120,36.715,90.25,84.437,86.875,2
2026-02-22T16:54:57.731974,13181,36.075,90.25,83.687,86.312,2
2026-02-22T17:01:50.597969,13198,34.796,90.187,88.187,88.187,0
2026-02-22T17:07:20.505270,13054,34.476,90.062,83.875,86.187,2
2026-02-22T17:13:23.648934,13137,34.156,90.0,87.062,87.187,1
2026-02-22T17:18:42.331739,13048,32.558,90.0,83.812,84.875,1
2026-02-22T17:32:03.939020,13192,30.639,89.875,86.562,86.562,0
2026-02-22T17:37:22.360897,13120,30.959,89.812,84.25,85.125,1
2026-02-22T17:43:49.967986,13137,31.279,89.687,86.625,86.562,1
2026-02-22T17:50:55.791818,13076,29.36,89.562,85.0,85.437,1
2026-02-22T17:56:02.919922,13192,29.36,89.562,84.125,84.125,0
2026-02-22T18:01:10.068519,13148,28.081,89.5,83.5,83.5,0
2026-02-22T18:06:17.116117,13126,28.081,89.437,83.375,83.375,0
2026-02-22T18:11:24.054312,13131,27.122,89.375,83.062,83.062,0
2026-02-22T18:16:30.921435,13148,27.122,89.312,82.75,82.75,0
2026-02-22T18:21:37.761983,13137,26.482,89.312,82.5,82.5,0
2026-02-22T18:26:44.540269,13148,26.482,89.187,82.375,82.375,0
2026-02-22T18:31:51.281691,13103,26.162,89.062,81.875,81.875,0
2026-02-22T18:36:57.970478,13092,25.843,89.062,82.125,82.125,0
2026-02-22T18:42:04.626850,13109,25.203,89.0,82.187,82.187,0
